Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
726,24.5,24.5,-9.0
727,23.0,-2.5,6.5
728,22.5,17.0,-5.0
729,23.0,22.5,-15.5
730,-9.5,24.0,-3.0
731,21.0,23.0,-6.5
732,-0.5,22.0,-2.5
733,-7.0,21.5,-1.5
734,23.0,24.5,-5.0
735,23.0,24.5,-6.0
736,-2.0,23.0,-6.5
737,22.5,-0.5,20.0
738,21.5,22.5,-5.5
739,23.5,-5.0,-5.0
740,-1.5,20.0,-13.5
741,22.5,2.5,-4.0
742,22.0,19.5,-9.5
743,22.5,24.0,-6.5
744,22.5,24.0,-5.0
745,22.0,23.5,-5.0
746,23.0,23.5,-8.0
747,22.5,21.5,-4.0
748,22.5,-4.5,-5.5
749,23.0,22.5,19.0
750,22.0,23.5,-10.0
751,24.0,23.5,-8.0
752,22.5,21.0,-10.5
753,23.5,-3.5,-3.5
754,22.0,23.0,-2.5
755,23.0,20.0,-5.5
756,23.0,23.0,-3.0
757,20.5,-2.5,-30.5
758,21.5,20.0,-7.5
759,23.0,-2.5,-4.5
760,23.0,23.5,-2.0
761,23.5,23.0,-3.0
762,21.0,16.0,-8.0
763,22.0,22.0,-4.0
764,1.0,-4.5,-12.5
765,23.0,-2.5,-9.5
766,23.0,-2.0,-5.0
767,22.5,24.5,-1.0
768,22.5,24.5,-4.0
769,22.0,-3.5,-2.5
770,23.0,21.5,19.0
771,18.0,22.5,-11.0
772,21.0,21.5,-5.0
773,22.5,18.5,-7.5
774,23.0,-2.0,-11.0
775,23.0,22.5,-6.5
776,22.0,23.5,-11.5
777,23.0,22.5,-5.0
778,22.5,21.5,-4.0
779,19.0,-6.0,15.0
780,23.0,-4.0,-7.0
781,18.5,22.0,-8.5
782,24.5,0.5,-6.0
783,22.5,23.5,-7.0
784,22.0,24.5,-4.5
785,23.0,24.0,-4.5
786,16.0,-5.5,-5.5
787,19.5,9.5,-5.0
788,21.5,18.0,-7.0
789,0.0,-3.0,-3.5
790,21.0,21.0,-7.5
791,22.5,24.5,-23.0
792,23.0,24.5,-7.0
793,22.5,18.0,-4.0
794,-2.0,23.5,-19.5
795,23.5,24.5,-35.0
796,24.5,23.5,-3.0
797,22.5,24.5,17.5
798,-4.5,24.0,-6.5
799,-1.5,20.0,13.0
800,-7.0,22.5,-5.5
801,22.5,22.5,-6.0
802,22.5,20.5,-4.0
803,-2.5,0.0,-7.0
804,-9.5,24.0,-5.5
805,23.0,-3.0,-9.0
806,22.0,2.5,-4.5
807,-6.5,0.5,22.5
808,21.5,23.5,-6.0
809,24.5,2.5,18.0
810,18.5,1.5,-5.5
811,23.5,22.5,-0.5
812,24.0,22.5,-4.5
813,22.5,23.5,-7.5
814,22.5,22.5,-20.5
815,23.5,24.0,-9.0
816,-1.0,24.5,-14.0
817,23.0,-2.0,-7.5
818,22.5,23.0,-6.5
819,23.0,22.5,-5.5
820,24.5,12.0,-6.5
821,22.5,-6.5,-6.0
822,23.5,23.0,-13.5
823,24.5,21.5,-2.0
824,22.0,22.0,-14.0
825,21.5,24.0,-6.0
826,23.0,24.5,-4.0
827,22.5,24.5,-4.5
828,19.5,23.5,-8.0
829,19.0,21.0,-5.5
830,25.0,23.5,-3.5
831,21.5,24.5,-4.0
832,22.0,24.0,-5.0
833,23.0,-5.0,10.5
834,23.0,-2.0,-11.5
835,22.5,14.0,-7.0
836,11.5,21.5,-7.5
837,24.5,21.0,-10.5
838,22.0,23.5,-9.0
839,23.0,20.5,-7.0
840,22.5,24.0,-7.5
841,23.0,-2.5,-6.0
842,22.0,0.0,-5.5
843,-7.0,-2.5,-9.5
844,22.0,22.5,-13.5
845,22.5,23.0,10.5
846,24.5,1.5,-0.5
847,22.0,21.5,18.0
848,18.0,21.0,-6.0
849,21.5,22.5,-3.0
850,24.0,20.5,18.5
851,22.0,22.5,-12.0
852,25.0,24.5,-4.5
853,-7.0,-0.5,-7.5
854,22.5,22.5,-9.5
855,23.0,24.0,-6.0
856,22.5,23.0,-9.5
857,23.5,22.0,-6.0
858,22.5,-1.5,-2.5
859,22.5,22.5,-8.0
860,23.0,23.5,-7.0
861,19.5,24.5,-5.0
862,21.5,-0.5,-6.0
863,17.0,22.5,-7.0
864,23.0,23.0,-4.5
865,22.0,20.0,-7.0
866,25.0,-4.0,-4.5
867,20.5,23.5,-4.0
868,22.5,-4.5,-5.0
869,22.5,24.5,-10.5
870,23.0,19.5,-5.5
871,22.5,23.0,-17.0
872,23.0,19.5,-6.0
873,24.0,22.0,-11.0
874,22.5,-3.0,-6.0
875,22.0,-0.5,-4.0
876,21.5,23.5,-2.0
877,-1.0,24.5,-3.0
878,23.0,0.5,-6.0
879,22.5,0.0,17.5
